"","group","length","distance"
"1","JG, AV, MN",64,11
"2","JG, AV, MN",64,15
"3","JG, AV, MN",64,7
"4","JG, AV, MN",64,13
"5","JG, AV, MN",64,7
"6","JG, AV, MN",64,2
"7","JG, AV, MN",64,1
"8","JG, AV, MN",64,11
"9","JG, AV, MN",64,11
"10","JG, AV, MN",64,14
"11","JG, AV, MN",64,25
"12","AB, SS, ML",178.3,3
"13","AB, SS, ML",178.3,18.6
"14","AB, SS, ML",178.3,5.6
"15","AB, SS, ML",178.3,2.8
"16","AB, SS, ML",178.3,3.7
"17","AB, SS, ML",178.3,2.9
"18","AB, SS, ML",178.3,8.5
"19","AB, SS, ML",178.3,2.6
"20","AB, SS, ML",178.3,2.4
"21","AB, SS, ML",178.3,11.3
"22","AB, SS, ML",178.3,7.6
"23","AB, SS, ML",178.3,2.05
"24","AB, SS, ML",178.3,8.05
"25","AB, SS, ML",178.3,13.8
"26","AB, SS, ML",178.3,14.5
"27","AB, SS, ML",178.3,14.7
"28","AB, SS, ML",178.3,14.9
"29","AB, SS, ML",178.3,5
"30","AB, SS, ML",178.3,4.95
"31","AB, SS, ML",178.3,9.35
"32","HA, JB, BD, VM",112.8,3.1
"33","HA, JB, BD, VM",112.8,0.46
"34","HA, JB, BD, VM",112.8,8.73
"35","HA, JB, BD, VM",112.8,6.32
"36","HA, JB, BD, VM",112.8,6.4
"37","HA, JB, BD, VM",112.8,13.6
"38","HA, JB, BD, VM",112.8,16.49
"39","HA, JB, BD, VM",112.8,1.5
"40","HA, JB, BD, VM",112.8,5.78
"41","HA, JB, BD, VM",112.8,11.44
"42","HA, JB, BD, VM",112.8,0
"43","CB, CC, MZ",136.5,1.6
"44","CB, CC, MZ",136.5,19.9
"45","CB, CC, MZ",136.5,19.9
"46","CB, CC, MZ",136.5,17.5
"47","CB, CC, MZ",136.5,9.9
"48","CB, CC, MZ",136.5,6.7
"49","CB, CC, MZ",136.5,0
"50","CB, CC, MZ",136.5,3.9
"51","CB, CC, MZ",136.5,5.2
"52","CB, CC, MZ",136.5,8.3
"53","CB, CC, MZ",136.5,4.6
"54","CB, CC, MZ",136.5,5.8
"55","KH, NT, BS",125.75,9.3
"56","KH, NT, BS",125.75,0
"57","KH, NT, BS",125.75,2.49
"58","KH, NT, BS",125.75,4.9
"59","KH, NT, BS",125.75,9.79
"60","KH, NT, BS",125.75,7.8
"69","KT, MRD, BC",80.15,0.57
"70","KT, MRD, BC",80.15,8.34
"71","KT, MRD, BC",80.15,5.43
"72","KT, MRD, BC",80.15,7.72
"73","KT, MRD, BC",80.15,7.35
"74","KT, MRD, BC",80.15,18.3
"75","KT, MRD, BC",80.15,13.35
"76","KT, MRD, BC",80.15,0.64
"77","KT, MRD, BC",80.15,8.52
"78","KT, MRD, BC",80.15,10.51
"79","KT, MRD, BC",80.15,1.9
"80","KT, MRD, BC",80.15,12.6
"81","KT, MRD, BC",80.15,8.63
"82","AB, JA, SK",164,0.8
"83","AB, JA, SK",164,6.1
"84","AB, JA, SK",164,1.3
"85","AB, JA, SK",164,0.8
"86","AB, JA, SK",164,10.7
"87","AB, JA, SK",164,4.9
"88","AB, JA, SK",164,3.4
"89","AB, JA, SK",164,5.5
"90","AB, JA, SK",164,4.8
"91","AB, JA, SK",164,8
"92","AB, JA, SK",164,6.2
"93","AB, JA, SK",164,4.4
"94","AB, JA, SK",164,0.3
"95","HB, SI, BM",48,9
"96","HB, SI, BM",48,9
"97","HB, SI, BM",48,8.3
"98","HB, SI, BM",48,8.4
"99","HB, SI, BM",48,5.8
"100","HB, SI, BM",48,2.9
"131","NL, MS, MM",155,19.4
"132","NL, MS, MM",155,14.3
"133","NL, MS, MM",155,1.1
"134","NL, MS, MM",155,14.8
"135","NL, MS, MM",155,12.5
"136","NL, MS, MM",155,14.5
"137","NL, MS, MM",155,10.4
"138","NL, MS, MM",155,13
"139","NL, MS, MM",155,18.2
"140","NL, MS, MM",155,7.7
"141","NL, MS, MM",155,1.3
"142","NL, MS, MM",155,2
"143","NL, MS, MM",155,7
"144","NL, MS, MM",155,0.3
"145","NL, MS, MM",155,5.55
"146","NL, MS, MM",155,2.6
"147","NL, MS, MM",155,2.4
"148","NL, MS, MM",155,5.2
"149","NL, MS, MM",155,5.4
"150","NL, MS, MM",155,23.4
"151","NL, MS, MM",155,23.4
"152","NL, MS, MM",155,5.9
"153","EF, LB, YX",59,4.15
"154","EF, LB, YX",59,3.3
"155","EF, LB, YX",59,6.1
"156","EF, LB, YX",59,7.9
"157","EF, LB, YX",59,10.8
"158","EF, LB, YX",59,10.1
"159","EF, LB, YX",59,0.07
"160","EF, LB, YX",59,0.02
"161","EF, LB, YX",59,7.3
"162","EF, LB, YX",59,13.6
"163","EF, LB, YX",59,13.3
"164","EF, LB, YX",59,12.7
"165","EF, LB, YX",59,11.5
"166","EF, LB, YX",59,10.2
"167","EF, LB, YX",59,9.4
"168","EF, LB, YX",59,8.8
"169","EF, LB, YX",59,8.5
"170","EF, LB, YX",59,6.8
"171","EF, LB, YX",59,4.05
"172","EF, LB, YX",59,4.6
"173","EF, LB, YX",59,10.4
"174","EF, LB, YX",59,7.2
"175","EF, LB, YX",59,9.8
"176","EF, LB, YX",59,13.3
"177","EF, LB, YX",59,1.35
"178","EF, LB, YX",59,3.7
